Core,DistanceToPith,YearsToPith,,Radius,,,,,
OH1_501,57.9,28,Radius,58.653,PithCoordinates,"73.639,10.033",Written,3/16/2022,14:14:53
OH1_503,35.7,6,Radius,497.565,PithCoordinates,"535.686,-19.600",Written,3/8/2022,15:19:15
OH110,6,1,Radius,16.256,PithCoordinates,"12.404,-3.789",Written,5/3/2019,15:10:46
OH111,51,26,Radius,16.722,PithCoordinates,"0.000,0.000",Written,2/12/2020,11:18:05
OH112,50.9,56,Radius,9.61,PithCoordinates,"7.493,2.773",Written,5/3/2019,15:12:29
OH113,17.1,4,Radius,19.389,PithCoordinates,"33.232,17.399",Written,3/16/2022,16:58:42
OH115,,,,,,,Written,5/3/2019,15:25:06
OH11a,,,,,,,Written,4/26/2019,16:09:30
OH11b,18,19,Radius,109.77,PithCoordinates,"10.054,122.449",Written,2/1/2019,15:48:33
OH12,0.8,4,,,,,Written,2/1/2019,15:55:10
OH121,15.1,5,Radius,109.918,PithCoordinates,"115.464,139.954",Written,3/16/2022,20:00:34
OH123,11.7,3,,,,,Written,5/3/2019,15:25:58
OH124,15.8,8,Radius,174.688,PithCoordinates,"11.176,3.874",Written,5/3/2019,15:16:20
OH125,9.5,3,Radius,6.752,PithCoordinates,"10.224,11.028",Written,3/16/2022,20:07:00
OH126,17.9,22,Radius,112.712,PithCoordinates,"116.819,9.229",Written,3/16/2022,19:41:46
OH127,17.3,7,Radius,16.87,PithCoordinates,"5.186,0.085",Written,5/3/2019,15:18:16
OH128,2.2,6,Radius,29.104,PithCoordinates,"25.739,-10.266",Written,5/3/2019,15:19:02
OH130,3.8,3,Radius,72.221,PithCoordinates,"81.936,12.763",Written,3/16/2022,21:52:55
OH14,34,32,Radius,203.01,PithCoordinates,"261.662,8.721",Written,2/1/2019,16:34:08
OH15,3.2,1,Radius,147.426,PithCoordinates,"6.879,7.239",Written,5/3/2019,15:21:15
OH16,11.8,13,Radius,156.676,PithCoordinates,"32.935,-3.238",Written,2/1/2019,16:47:45
OH17,1.4,1,,,Written,5/3/2019,15:22:03,,
OH18,31.7,12,Radius,263.186,PithCoordinates,"236.389,140.843",Written,2/1/2019,16:58:16
OH19,23.1,38,Radius,10.118,PithCoordinates,"12.382,0.021",Written,5/3/2019,15:09:21
OH2_502,18.7,5,Radius,13.547,PithCoordinates,"24.215,10.604",Written,3/16/2022,14:28:21
OH2_504,47,28,,,Written,3/16/2022,14:37:33,,
OH2_505,18.2,4,Radius,6.138,PithCoordinates,"34.121,22.627",Written,3/16/2022,14:44:47
OH2117,23.2,10,Radius,158.898,PithCoordinates,"73.321,5.842",Written,3/16/2022,20:19:22
OH251,14,5,Radius,133.71,PithCoordinates,"0.656,149.818",Written,3/16/2022,21:56:59
OH253,10.8,3,Radius,28.977,PithCoordinates,"0.254,-8.826",Written,3/8/2019,16:32:39
OH254,5.8,1,Radius,11.261,PithCoordinates,"0.169,5.990",Written,3/8/2019,16:43:29
OH255,9.4,3,Radius,45.254,PithCoordinates,"5.016,-28.977",Written,3/8/2019,16:52:37
OH256,12.8,6,Radius,89.45,PithCoordinates,"3.408,-29.697",Written,4/12/2019,14:22:07
OH257,20.3,8,Radius,14.076,PithCoordinates,"11.980,5.715",Written,4/12/2019,14:42:26
OH258,2.8,1,Radius,23.961,PithCoordinates,"3.027,-7.556",Written,4/12/2019,14:52:51
OH259,3.4,2,Radius,8.911,PithCoordinates,"0.423,9.186",Written,4/12/2019,15:07:30
OH260,30,15,Radius,139.89,PithCoordinates,"5.440,155.363",Written,3/16/2022,20:04:14
OH261,33.1,9,Radius,149.818,PithCoordinates,"3.514,-2.286",Written,5/3/2019,15:27:16
OH262,17.6,20,Radius,105.304,PithCoordinates,"120.608,5.228",Written,3/16/2022,19:33:32
OH263,9.8,7,Radius,21.315,PithCoordinates,"13.737,-3.619",Written,5/3/2019,15:28:45
OH264,2,3,Radius,21.526,PithCoordinates,"7.578,-3.090",Written,5/3/2019,15:29:29
OH265,0.8,3,Radius,6.71,PithCoordinates,"15.282,14.647",Written,2/12/2020,11:32:29
OH266,16.3,21,Radius,38.777,PithCoordinates,"45.297,-8.700",Written,5/3/2019,15:31:16
OH267,9.8,5,Radius,145.584,PithCoordinates,"49.720,-0.487",Written,5/3/2019,15:32:26
OH268,5.2,14,Radius,104.669,PithCoordinates,"22.077,119.528",Written,5/3/2019,15:33:30
OH269,29.2,15,Radius,39.984,PithCoordinates,"7.874,-21.844",Written,5/3/2019,15:33:59
OH270,9.8,12,Radius,34.269,PithCoordinates,"22.373,-20.108",Written,5/3/2019,15:34:45
OH271,22.2,8,Radius,112.776,PithCoordinates,"32.343,0.910",Written,5/3/2019,15:36:18
OH272,4.2,2,Radius,95.525,PithCoordinates,"5.673,-38.312",Written,4/12/2019,15:44:04
OH273,32.1,20,Radius,87.27,PithCoordinates,"0.000,94.107",Written,5/3/2019,15:40:32
OH274,32.5,37,Radius,10.753,PithCoordinates,"20.151,6.477",Written,5/3/2019,15:41:25
OH275,30.8,15,Radius,18.224,PithCoordinates,"12.531,-0.847",Written,5/3/2019,15:42:05
OH276,2.5,1,Radius,26.204,PithCoordinates,"70.993,4.466",Written,4/12/2019,15:53:27
OH277,34.7,29,Radius,17.949,PithCoordinates,"5.821,5.122",Written,5/3/2019,15:42:53
OH278,3.7,1,Radius,105.516,PithCoordinates,"10.224,84.222",Written,4/12/2019,16:06:01
OH279,9.6,7,Radius,27.284,PithCoordinates,"5.270,-3.175",Written,5/3/2019,15:43:35
OH3_506,67.5,14,Radius,12.34,PithCoordinates,"4.678,1.418",Written,3/16/2022,14:47:12
OH3100,9.6,1,Radius,151.257,PithCoordinates,"41.444,5.270",Written,3/16/2022,15:45:57
OH3101,0,1,,,Written,2/5/2020,11:33:29,,
OH3102,5.9,4,Radius,21.929,PithCoordinates,"33.062,3.450",Written,3/16/2022,19:03:06
OH3103,28.3,27,Radius,15.833,PithCoordinates,"15.896,3.958",Written,2/12/2020,11:33:50
OH3104,34.5,12,Radius,107.124,PithCoordinates,"123.211,8.509",Written,2/12/2020,11:34:40
OH3105,24,22,Radius,28.871,PithCoordinates,"53.636,12.150",Written,3/16/2022,18:53:51
OH3106,16.2,3,Radius,409.088,PithCoordinates,"442.531,12.552",Written,3/16/2022,19:01:00
OH3107,21.8,12,Radius,250.825,PithCoordinates,"270.764,8.700",Written,3/16/2022,19:35:39
OH3108,14.1,12,,,Written,3/16/2022,18:40:53,,
OH3109,0,1,,,Written,3/16/2022,19:09:29,,
OH3111,14.8,4,Radius,13.716,PithCoordinates,"7.218,11.282",Written,3/16/2022,15:33:31
OH3112,6,6,Radius,73.829,PithCoordinates,"15.282,20.828",Written,2/12/2020,11:50:56
OH3113,44,34,Radius,12.488,PithCoordinates,"32.194,8.192",Written,3/16/2022,20:29:12
OH3114,36.6,20,Radius,20.913,PithCoordinates,"0.000,0.000",Written,1/29/2020,11:21:00
OH3115,4.2,7,Radius,23.283,PithCoordinates,"3.662,-9.779",Written,4/19/2019,15:06:24
OH3116,26.3,14,Radius,13.949,PithCoordinates,"11.155,-0.402",Written,4/19/2019,15:14:53
OH3118,16.3,4,Radius,8.572,PithCoordinates,"14.901,14.309",Written,4/19/2019,15:22:47
OH3119,1.2,3,Radius,120.269,PithCoordinates,"18.076,12.192",Written,3/16/2022,17:08:47
OH3120,15.6,34,Radius,63.5,PithCoordinates,"85.048,8.361",Written,3/16/2022,20:12:29
OH3121,10.1,6,Radius,31.094,PithCoordinates,"4.868,-19.346",Written,4/19/2019,15:55:46
OH3122,12.5,15,Radius,90.763,PithCoordinates,"111.273,10.943",Written,3/16/2022,20:34:39
OH3123,18.7,12,Radius,32.385,PithCoordinates,"12.171,-19.685",Written,4/19/2019,16:11:47
OH3124,33.8,11,Radius,76.115,PithCoordinates,"1.736,84.264",Written,4/19/2019,16:19:32
OH3125,19.2,26,Radius,118.681,PithCoordinates,"93.557,8.170",Written,3/16/2022,18:56:57
OH3126,34.5,9,Radius,104.14,PithCoordinates,"8.213,-91.292",Written,4/19/2019,16:33:14
OH3127,20.2,20,Radius,139.912,PithCoordinates,"3.641,148.505",Written,3/16/2022,20:27:37
OH3128,12.6,7,Radius,63.987,PithCoordinates,"15.748,-50.207",Written,4/19/2019,16:41:37
OH3129,29.4,20,Radius,29.528,PithCoordinates,"9.652,37.571",Written,4/19/2019,16:46:30
OH3511,35.2,23,Radius,177.144,PithCoordinates,"202.269,1.630",Written,3/16/2022,14:53:20
