Site,Plot,Date,Number,Code,Spec,DBH,Ht,Comment
IS,IS1,8/15/2018,1,IS11,PIJE,36.2,20,
IS,IS1,8/15/2018,2,IS12,PIJE,103.5,46,
IS,IS1,8/15/2018,3,IS13,PIJE,33.6,30.4,
IS,IS1,8/15/2018,4,IS14,PIJE,21.9,37,cored through opp. Side
IS,IS1,8/15/2018,5,IS15,PIJE,41.6,27,
IS,IS1,8/15/2018,6,IS16,PIJE,72.3,32,
IS,IS1,8/15/2018,7,IS17,PIJE,39,32,
IS,IS1,8/15/2018,8,IS18,PIJE,47,32,
IS,IS1,8/15/2018,9,IS19,PIJE,37.5,40,
IS,IS1,8/15/2018,10,IS110,PIJE,32.5,23,
IS,IS1,8/15/2018,11,IS111,PIJE,33.6,38,exit holes and boring dust
IS,IS1,8/15/2018,12,IS112,PIJE,12.4,37,
IS,IS1,8/15/2018,15,IS115,,,,out
IS,IS1,8/15/2018,16,IS116,PIJE,72.5,42,
IS,IS1,8/15/2018,17,IS117,PIJE,70,36,
IS,IS1,8/15/2018,18,IS118,,,,out
IS,IS1,8/15/2018,19,IS119,PIJE,130,64,
IS,IS1,8/15/2018,20,IS120,PIJE,95,57,
IS,IS1,8/15/2018,21,IS121,PIJE,72.8,56,
IS,IS1,8/15/2018,22,IS122,PIJE,123.5,64,
IS,IS1,8/15/2018,23,IS123,PIJE,102,54,
IS,IS1,8/15/2018,24,IS124,PIJE,92.7,40,
IS,IS1,8/15/2018,25,IS125,PIJE,79.3,42.3,
IS,IS1,8/15/2018,26,IS126,PIJE,89.1,44,
IS,IS1,8/15/2018,13,IS113,PIJE,58.5,45,
IS,IS1,8/15/2018,14,IS114,PIJE,71.1,38,
IS,IS1,8/15/2018,27,IS127,PIJE,86.5,53,
IS,IS1,8/15/2018,28,IS128,PIJE,119,46,
IS,IS1,8/15/2018,29,IS129,PIJE,129.1,65,
IS,IS1,8/15/2018,30,IS130,PIJE,105,48,
IS,IS1,8/15/2018,31,IS131,PIJE,58.5,30,
IS,IS1,8/15/2018,32,IS132,PIJE,72.3,50,
IS,IS2,8/16/2018,33,IS233,,,,No core (stuck)
IS,IS2,8/16/2018,34,IS234,PIJE,18.3,29,cored through opp. Side
IS,IS2,8/16/2018,35,IS235,PIJE,29,34,
IS,IS2,8/16/2018,36,IS236,PIJE,21.3,32,
IS,IS2,8/16/2018,37,IS237,PIJE,14.2,33,
IS,IS2,8/16/2018,38,IS238,PIJE,25,35,
IS,IS2,8/16/2018,39,IS239,PIJE,41.5,40,
IS,IS2,8/16/2018,40,IS240,PIJE,42.3,37,
IS,IS2,8/16/2018,41,IS241,PIJE,28.7,24,
IS,IS2,8/16/2018,42,IS242,PIJE,17,25,
IS,IS2,8/16/2018,43,IS243,PIJE,29.5,32,
IS,IS2,8/16/2018,44,IS244,PIJE,59.7,42,
IS,IS2,8/16/2018,45,IS245,PIJE,75,48,
IS,IS2,8/16/2018,46,IS246,PIJE,66.3,45,
IS,IS2,8/16/2018,47,IS247,PIJE,76,67,rotten near center
IS,IS2,8/16/2018,48,IS248,PIJE,80.6,58,
IS,IS2,8/16/2018,49,IS249,PIJE,50.5,29,
IS,IS2,8/16/2018,50,IS250,PIJE,51,30,
IS,IS2,8/16/2018,51,IS251,PIJE,73.5,39,
IS,IS2,8/16/2018,52,IS252,PIJE,86.1,45,burnt scar at base opp. Core
IS,IS2,8/16/2018,53,IS253,,,,no core (rotten)
IS,IS2,8/16/2018,54,IS254,PIJE,75.1,36,
IS,IS2,8/16/2018,55,IS255,PIJE,84,103,data missing from core sheet
IS,IS3,24-Aug,70,IS370,PIJE,44.5,35,
IS,IS3,24-Aug,71,IS371,PIJE,75.9,30,
IS,IS3,24-Aug,72,IS372,PIJE,32.4,41,
IS,IS3,24-Aug,73,IS373,PIJE,80.9,29,
IS,IS3,24-Aug,74,IS374,PIJE,43.8,50,
IS,IS3,24-Aug,75,IS375,PIJE,23,27,
IS,IS3,24-Aug,76,IS376,PIJE,33.3,36,
IS,IS3,24-Aug,77,IS377,PIJE,57.8,34,
IS,IS3,24-Aug,78,IS378,PIJE,26.5,31,
IS,IS3,24-Aug,79,IS379,PIJE,65.9,63,
IS,IS3,24-Aug,80,IS380,PIJE,70.7,45,
IS,IS3,24-Aug,81,IS381,PIJE,40.1,34,
IS,IS3,24-Aug,82,IS382,PIJE,32,31,
IS,IS3,24-Aug,83,IS383,PIJE,78.7,64,
IS,IS3,24-Aug,84,IS384,PIJE,6.2,20,
IS,IS3,24-Aug,85,IS385,PIJE,24.9,31,
IS,IS3,24-Aug,86,IS386,PIJE,52.2,35,
IS,IS3,24-Aug,87,IS387,PIJE,73,46,
IS,IS3,24-Aug,88,IS388,,,,not cored
IS,IS3,24-Aug,89,IS389,PIJE,52,36,
IS,IS3,24-Aug,90,IS390,PIJE,57.9,35,
OH,OH1,9/2/2018,1a,OH11a,PIJE,77,26,same tree as 1b
OH,OH1,9/2/2018,1b,OH11b,PIJE,77,23,same tree as 1a
OH,OH1,9/2/2018,2,OH12,PIJE,26,31,
OH,OH1,9/2/2018,3,OH13,PIJE,68,24,flat top tree
OH,OH1,9/2/2018,4,OH14,PIJE,68,25,
OH,OH1,9/2/2018,5,OH15,PIJE,106.5,41,rotten near center
OH,OH1,9/2/2018,6,OH16,PIJE,53.6,32,
OH,OH1,9/2/2018,7,OH17,PIJE,83.4,43,
OH,OH1,9/2/2018,8,OH18,PIJE,64.5,31,
OH,OH1,9/2/2018,9,OH19,PIJE,76.5,44,
OH,OH1,9/2/2018,10,OH110,PIJE,54.4,29,
OH,OH1,9/2/2018,11,OH111,PIJE,85.8,57,
OH,OH1,9/2/2018,12,OH112,PIJE,62.2,28,
OH,OH1,9/2/2018,13,OH113,PIJE,114.2,49,
OH,OH1,9/2/2018,14,OH114,PIJE,29,27,
OH,OH1,9/2/2018,15,OH115,PIJE,99.2,52,
OH,OH1,9/2/2018,16,OH116,PIJE,13.4,31,
OH,OH1,9/2/2018,17,OH117,PIJE,71.6,44,
OH,OH1,9/2/2018,18,OH118,PIJE,36.2,30,"double center, measure to first?"
OH,OH1,9/2/2018,19,OH119,PIJE,62,41,
OH,OH1,9/2/2018,20,OH120,PIJE,17.9,30,
OH,OH1,9/2/2018,21,OH121,PIJE,89.2,60,
OH,OH1,9/2/2018,22,OH122,PIJE,11.6,23,
OH,OH1,9/2/2018,23,OH123,PIJE,95.7,46,
OH,OH1,9/2/2018,24,OH124,PIJE,24.1,22,
OH,OH1,9/2/2018,25,OH125,PIJE,88.1,53,
OH,OH1,9/2/2018,26,OH126,PIJE,48.2,31,
OH,OH1,9/2/2018,27,OH127,PIJE,19.3,34,
OH,OH1,9/2/2018,28,OH128,PIJE,27.9,35,
OH,OH1,9/2/2018,29,OH129,PIJE,85,45,
OH,OH1,9/2/2018,30,OH130,PIJE,86.3,60,
OH,OH2,9/1/2018,50,OH250,PIJE,106.3,57,
OH,OH2,9/1/2018,51,OH251,PIJE,94.5,44,
OH,OH2,9/1/2018,52,OH252,PIJE,121.2,43,
OH,OH2,9/1/2018,53,OH253,PIJE,130.7,60,core can’t reach center
OH,OH2,9/1/2018,54,OH254,PIJE,106.9,41,
OH,OH2,9/1/2018,55,OH255,PIJE,99.5,45,
OH,OH2,9/1/2018,56,OH256,PIJE,100,43,
OH,OH2,9/1/2018,57,OH257,PIJE,116.4,40,
OH,OH2,9/1/2018,58,OH258,PIJE,83.5,38,
OH,OH2,9/1/2018,59,OH259,PIJE,94.5,94,
OH,OH2,9/1/2018,60,OH260,PIJE,98.8,63,
OH,OH2,9/1/2018,61,OH261,PIJE,65.4,42,
OH,OH2,9/1/2018,62,OH262,PIJE,70.8,47,
OH,OH2,9/1/2018,63,OH263,PIJE,74.8,35,
OH,OH2,9/1/2018,64,OH264,PIFL,42.6,45,
OH,OH2,9/1/2018,65,OH265,PIJE,20,40,
OH,OH2,9/1/2018,66,OH266,PIJE,35.2,28,
OH,OH2,9/1/2018,67,OH267,PIJE,46.7,35,
OH,OH2,9/1/2018,68,OH268,PIJE,26.7,27,
OH,OH2,9/1/2018,69,OH269,PIJE,25,28,
OH,OH2,9/1/2018,70,OH270,PIJE,21,28,
OH,OH2,9/1/2018,71,OH271,ABCO,38.5,33,
OH,OH2,9/1/2018,72,OH272,PIJE,81.9,42,
OH,OH2,9/1/2018,73,OH273,PIJE,33.9,35,
OH,OH2,9/1/2018,74,OH274,PIJE,68.7,45,rtb
OH,OH2,9/1/2018,75,OH275,PIJE,58.9,33,
OH,OH2,9/1/2018,76,OH276,PIJE,84.2,39,
OH,OH2,9/1/2018,77,OH277,PIJE,46.5,35,
OH,OH2,9/1/2018,78,OH278,PIJE,63.8,41,rtb
OH,OH2,9/1/2018,79,OH279,PIJE,15.2,28,
OH,OH3,8/31/2018,100,OH3100,PIJE,103.8,60,
OH,OH3,8/31/2018,101,OH3101,PIJE,16.2,24,
OH,OH3,8/31/2018,103,OH3103,PIJE,31,25.8,
OH,OH3,8/31/2018,102,OH3102,PIJE,100.9,45,
OH,OH3,8/31/2018,104,OH3104,PIJE,38.9,32,
OH,OH3,8/31/2018,105,OH3105,PIJE,34.5,35,
OH,OH3,8/31/2018,106,OH3106,PIJE,92.6,50,
OH,OH3,8/31/2018,107,OH3107,PIJE,64.7,33,
OH,OH3,8/31/2018,108,OH3108,PIJE,21.5,31,
OH,OH3,8/31/2018,109,OH3109,PIJE,104.5,50,
OH,OH3,8/31/2018,110,OH3110,PIJE,93.4,40,
OH,OH3,8/31/2018,111,OH3111,PIJE,78.5,35,
OH,OH3,8/31/2018,112,OH3112,PIJE,91.2,42,
OH,OH3,8/31/2018,113,OH3113,PIJE,52.1,25,
OH,OH3,8/31/2018,114,OH3114,PIJE,51.2,30,
OH,OH3,8/31/2018,115,OH3115,PIJE,66.2,52,
OH,OH3,8/31/2018,116,OH3116,PIJE,66.6,58,
OH,OH3,8/31/2018,117,OH3117,PIJE,77.8,44,
OH,OH3,8/31/2018,118,OH3118,PIJE,78.1,49,
OH,OH3,8/31/2018,119,OH3119,PIJE,49.6,33,
OH,OH3,8/31/2018,120,OH3120,PIJE,71.7,60,
OH,OH3,8/31/2018,121,OH3121,PIJE,70.6,52,
OH,OH3,8/31/2018,122,OH3122,PIJE,58.2,50,
OH,OH3,8/31/2018,123,OH3123,PIJE,74.2,58,
OH,OH3,8/31/2018,124,OH3124,PIJE,49.9,42,
OH,OH3,8/31/2018,125,OH3125,PIJE,29,40,
OH,OH3,8/31/2018,126,OH3126,PIJE,72.4,43,
OH,OH3,8/31/2018,127,OH3127,PIJE,20.3,36,
OH,OH3,8/31/2018,128,OH3128,JUGR,16.5,50,
OH,OH3,8/31/2018,129,OH3129,PIJE,26.2,34,
IS,IS2,8/26/2019,40B,IS240B,PIJE,42.3,23,
IS,IS2,8/26/2019,37B,IS237B,PIJE,14.2,16,
IS,IS2,8/26/2019,36B,IS236B,PIJE,21.3,15,
IS,IS2,8/26/2019,1001,IS21001,PIJE,116.3,49,
IS,IS2,8/26/2019,1002,IS21002,PIJE,89.2,46,
IS,IS2,8/26/2019,1003,IS21003,PIJE,100.5,51,
IS,IS2,8/26/2019,1004,IS21004,PIJE,94.7,57,
IS,IS2,8/26/2019,1005,IS21005,PIJE,94.4,50,
IS,IS2,8/26/2019,1006,IS21006,PIJE,97.5,71,
IS,IS2,8/26/2019,1007,IS21007,PIJE,101.2,52,
IS,IS2,8/26/2019,1008,IS21008,PIJE,95.3,60,
IS,IS2,8/26/2019,1009,IS21009,PIJE,103.2,48,
IS,IS2,8/26/2019,1010,IS21010,PIJE,92.7,38,
IS,IS1,8/26/2019,24B,IS124B,PIJE,92.1,7,
IS,IS1,8/26/2019,30B,IS130B,PIJE,103.2,58,
IS,IS1,8/26/2019,25B,IS125B,PIJE,79.3,44,
IS,IS1,8/26/2019,12B,IS112B,PIJE,11.9,22,
IS,IS1,8/26/2019,1B,IS11B,PIJE,37.4,17,
IS,IS1,8/26/2019,14B,IS114B,PIJE,71.3,36,
IS,IS1,8/26/2019,31B,IS131B,PIJE,57,32,
IS,IS3,8/27/2019,1011,IS31011,PIJE,102.4,53,
IS,IS3,8/27/2019,200,IS3200,PIJE,64.8,45,
IS,IS3,8/27/2019,1012,IS31012,PIJE,95.6,50,
IS,IS3,8/27/2019,1013,IS31013,PIJE,110,48,
IS,IS3,8/27/2019,1014,IS31014,PIJE,98.5,50,
IS,IS3,8/27/2019,1015,IS31015,PIJE,107.7,55,
IS,IS3,8/27/2019,1016,IS31016,PIJE,93.9,57,
IS,IS3,8/27/2019,1017,IS31017,PIJE,99.8,52,
IS,IS3,8/27/2019,1018,IS31018,PIJE,92,48,
IS,IS3,8/27/2019,1019,IS31019,PIJE,98.4,50,
OH,OH1,5/14/2021,501,OH1501,PIJE,107.7,50,
OH,OH1,5/14/2021,502,OH1502,PIJE,128.9,50,"Center rot, core is only about 42 cm of 53 cm potential radium"
OH,OH1,5/14/2021,503,OH1503,PIJE,96.6,62,
OH,OH2,5/14/2021,504,OH2504,PIJE,121.2,51,
OH,OH2,5/14/2021,505,OH2505,PIJE,131.8,48,
OH,OH3,5/14/2021,506,OH3506,PIJE,96.7,42,
OH,OH3,5/14/2021,507,OH3507,PIJE,112.4,47,boundary tree (old comment)
OH,OH3,5/14/2021,510,OH3510,PIJE,105,58,"Center rot, short core and in several pieces"
OH,OH3,5/14/2021,511,OH3511,PIJE,104.2,53,"rotten center, out core in several bits"
,,,,,,,,
